company_name,email,phone_number
appleq,agmail,26
apple,agmail.com,26
apple,a@gmail.com,26
blue sky innovations,sales@blueskyinv.net,8005553001
crestwood manufacturing,info@crestwoodmfg.com,5552024040
datastream analytics,contact@datastream.com,7119
datastream analytics,contact@datastream.com,7119
echo valley farms,orders@echovalley.org,8005557777
futurescape solutions,hr@futurescape.net,5558889999
global transit co.,dispatch@globaltransit.com,2887
horizon media group,info@horizonmedia.com,8005554444
horizon media group,support@horizonmedia.com,10219
innova dynamics,tech@innovadynamics.com,5553335555
juno energy systems,sales@junoenergy.com,8005556000
kineticorp,contact@kineticorp.net,5559091010
luna retail stores,jobs@lunaretail.com,4109
mountaintop gear,help@mountaintopgear.us,8005551234
nova consulting,admin@novaconsult.org,5554446666
orbit telecom,support@orbittel.com,11330
pinnacle builders,estimates@pinnacle.com,8005550000
